,meaning1,meaning2,realizations
843,heavy (of weight),bothering,1
844,heavy (of weight),difficult,20
845,heavy (of weight),"earnest, serious",1
846,heavy (of weight),important,14
847,heavy (of weight),insulting,3
848,heavy (of weight),pregnant,16
849,heavy (of weight),rich,1
850,heavy (of weight),slow (adj.),2
851,heavy (of weight),strong,2
852,heavy (of weight),"stuffy, close",8
853,heavy (of weight),stupid,1
854,heavy (of weight),very,4
855,hedgehog (Еrinaceus),chestnut,2
856,hedgehog (Еrinaceus),rat,2
857,heel (of a foot),behind,2
858,heel (of a foot),edge,2
859,heel (of a foot),end,1
860,heel (of a foot),"footprint, track",1
861,heel (of a foot),heel (of a shoe),11
862,heel (of a foot),hoof,1
863,height (of a person),age,2
864,hell,experience of great suffering,3
865,hell,glutton,2
866,hen,vagina,1
867,hen,whore,2
868,hermit,Boletus edulis,1
869,herring,police officer,1
870,high (location),high-pitched,7
871,high (location),of high rank,6
872,high (location),proud,4
873,"high (size), tall",expensive,1
874,"high (size), tall",loud,15
875,hill,tomb,5
876,hoar-frost,grey hair,1
877,honey,sweet (taste),1
878,hoof,foot/leg,2
879,hoof,hearts (in cards),1
880,horn,branch (of a river),1
881,horn,cape,2
882,horn,flank (military),1
883,horn,peak of mountain,4
884,horn,ravine,1
885,horn,spout of vessel,1
886,horn,swelling (on skin),1
887,horned,deer,1
888,horse (Equus caballus),big,2
889,horse (Equus caballus),dragonfly,1
890,horse (Equus caballus),flatbread,1
891,horse (Equus caballus),knight (chess),14
892,horse (Equus caballus),wave,1
893,"horseman, rider",knight (chess),5
894,"horseman, rider","noble rank, title",3
895,hot,active,8
896,hot,angry,12
897,hot,difficult,1
898,hot,fever,5
899,hot,fresh,2
900,hot,"friendly, amicable",3
901,hot,hoarse,1
902,hot,passionate,19
903,hot,recent,3
904,hot,spicy,2
905,hot,to succeed,1
906,hour,"watch, clock",5
907,house,coffin,1
908,house,family,9
909,house,husband,2
910,house,inheritance,1
911,house,motherland,1
912,house,native land,1
913,house,tomb,4
914,house,verse,2
915,house,wife,6
916,hump (of a person or camel),peak of mountain,1
917,humpbacked,"mosquito, gnat",1
918,hungry,greedy,2
919,hunter,bishop (chess),3
920,hunter,wolf,1
921,hyena,glutton,1
922,ice,glass (material),1
923,"idler, loafer",sloth (South American mammal),28
924,"idler, loafer",track idler wheel,2
925,"ill, sick, not well",moon,1
926,"ill, sick, not well",wrong,1
927,immature fish,inexperienced,1
928,incomplete,insane,1
929,inflated,"false, wrong",1
930,inflated,proud,6
931,innocent,child (son or daughter),1
932,insane,to be keen of,2
933,insect,wolf,2
934,"instrument, tool",weapon,4
935,intact,normal,2
936,intact,pure,1
937,iron,anchor,4
938,iron,black,1
939,iron,"firm, solid",1
940,iron,iron (for pressing clothes),3
941,iron,scissors,1
942,iron,sword,1
943,iron,"trap, snare (n.)",1
944,iron,weapon,3
945,jaw,blade,3
946,jaw,sleigh,1
947,jay,siberian jay,1
948,jerboa,weak,1
949,jester,bishop (chess),2
950,"jewel, precious stone",eye,2
951,"jewelry, precious thing",penis,1
952,"jewelry, precious thing",talent,2
953,"joint, articulation",generation,4
954,"joint, articulation",node (part of a plant stem),1
955,"joint, articulation",tribe,2
956,jumper,knight (chess),2
957,juniper,wild rosemary,1
958,key (of a door),clavicle,1
959,key (of a door),keystone,6
960,key (of a door),"tap, faucet",2
961,kilogram,100 units of currency,2
962,kite,kite (lightweight toy),4
963,kite (lightweight toy),flying fish,1
964,knee,genitalia,2
965,knee,strong,1
966,knot,contract,2
967,ladle,"shoulder-blade, scapula",1
968,ladybird,"firebug, Pyrrhocoris apterus",1
969,lame person,drunk,1
970,land (vs. sea),bottom,3
971,land (vs. sea),floor (vs. ceiling),5
972,lap,"protection, patronage",1
973,lap,vagina,2
974,lap (of clothes),mountain slope,1
975,last,next,1
976,"lavish, generous",fertile (soil),1
977,"lavish, generous",influential person,1
978,"lead, plumbum",pencil,2
979,leaf,blade,2
980,leaf,crucian,1
981,leaf,"leaf (of door, window)",2
982,leaf,letter (text),1
983,leaf,money,1
984,leaf,oar,2
985,leaf,sheet of paper,15
986,leaf,spades (in cards),1
987,lean,fatless,11
988,leech,creditor,1
989,leech,extortioner,1
990,left,bad,1
991,left,bad luck,3
992,left,impolite,2
993,left,left (political),11
994,left,west,1
995,left,wrong,3
996,length,longitude,1
997,lenten (fare),fatless,1
998,lentil,lens,4
999,letter (character),reverse side of a coin,1
1000,letter (text),signature,1
1001,life,death,2
1002,lifting machine,"tap, faucet",6
1003,light (n.),electricity,4
1004,light (n.),world,4
1005,light (of colour),clever,5
1006,light (of colour),comprehensible,17
1007,light (of colour),glad,4
1008,light (of colour),high-pitched,1
1009,light (of colour),honest,1
1010,light (of colour),sober,1
1011,light (of weight),cheap,3
1012,light (of weight),frivolous,2
1013,light (of weight),not strong (of liquid or smell),1
1014,light (of weight),simple,18
1015,light (of weight),unimportant,3
1016,lightning,electricity,11
1017,line,"footprint, track",1
1018,line,trait,4
1019,lineage,offspring,1
1020,lion (Panthera leo),brave person,6
1021,lion (Panthera leo),monarch,2
1022,lip,beak,1
1023,lip,edge,4
1024,lip,word,4
1025,liquid (adj.),high-pitched,1
1026,liquid (adj.),sparse,4
1027,liquid (adj.),weak,1
1028,literally,figuratively,3
1029,little finger,branch (of a river),1
1030,"little, small",aunt (mother's sister),1
1031,"little, small","detailed, thorough",2
1032,"little, small",little finger,4
1033,"little, small",low (social),1
1034,"little, small",stupid,1
1035,"little, small",younger,1
1036,lock (n.),keystone,2
1037,locked,strong (of liquid or smell),1
1038,long (size),far away,2
1039,long (size),"high (size), tall",7
1040,long (size),woodland spirit,1
1041,long-armed,thief,1
1042,look (n.),"instant, moment",1
1043,lord,god,13
1044,lord,"you (pronoun 2 sg., polite)",5
1045,lost,dead (adj.),1
1046,lotus,beautiful,2
1047,lotus,beloved,1
1048,lotus,shower head,2
1049,loud,severe (about pain),1
1050,low (location),bad,3
1051,low (location),bad (ethically),11
1052,low (location),"bass, low-pitched voice",1
1053,low (location),deep,2
1054,low (location),embroidery on the hem,1
1055,low (location),low (social),5
1056,low (location),meek,2
1057,low (location),of low rank,4
1058,low (location),old (vs. new),1
1059,low (location),weak,1
1060,low (size),quiet (vs. loud),10
1061,low (social),bad (ethically),1
1062,lower part,south,5
1063,lower part,west,1
1064,lower reach (of river),North,1
1065,lung,sponge,1
1066,magpie (Pica pica),"happiness, luck",1
1067,magpie (Pica pica),talkative person,7
1068,maize,cone (fruit),1
1069,male (animal),door bolt,1
1070,man,courage,3
1071,man,husband,35
1072,man,main,1
1073,mane,"mountain ridge, edge",6
1074,mango,syphilis,1
1075,"mangy, scabby",bad,4
1076,"manufacturer, producer","commodity, goods",1
1077,"many, much",very,11
1078,market,Sunday,6
1079,market,noise,2
1080,marrow,core (of plant),7
1081,marten,money,2
1082,mask,larva,2
1083,mat,whore,4
1084,meat,fruit pulp,10
1085,meat,kinship,1
1086,"melody, tune",behaviour,2
1087,mental hospital,"disorder, mess",2
1088,messenger,angel,2
1089,metal,gold,2
1090,metal,money,1
1091,metal spike,pike (fish),1
1092,middle,Wednesday,1
1093,middle,boundary (of land plots),1
1094,middle,middle finger,2
1095,middle,to act as intermediary,1
1096,milk,"milk-tooth, deciduous tooth",2
1097,milk,milt (of fish),6
1098,milk,"resin; pitch, tar",1
1099,milk,sap (of a plant),2
1100,mill (n.),molar (tooth),2
1101,mind (n.),joke,2
1102,mind (n.),memory,6
1103,mine (underground tunnel),mine (explosive device),9
1104,miracle,mirror,1
1105,mirror,mirror (website),9
1106,mirror,spectacles,6
1107,misfortune,wolf,1
1108,"missing, failing",stupid,2
1109,"mist, fog",cataract (of the eye),2
1110,mistress of a house,"mistress, paramour",2
1111,mistress of a house,wife,5
1112,moisture,"profit, gain (n.)",1
1113,monarch,bride,1
1114,monarch,goldcrest,1
1115,monarch,king (a playing card),5
1116,monarch,mesentery,1
1117,monarch,queen (bee),11
1118,monk,donut,2
1119,monk,macereed (Typha),1
1120,monkey,"ugly, unpleasant",7
1121,monster (abnormal creature),cruel,8
1122,moon,Monday,7
1123,moon,calendar,1
1124,moon,date,1
1125,moon,horseshoe,1
1126,moon,menstruation,11
1127,moon,month,259
1128,moon,silver,1
1129,moon,sunflower,1
1130,moon,time,1
1131,moon,white,1
1132,morning,day,1
1133,morning,east,1
1134,morning,spring (season),1
1135,mortal,person,5
1136,"mosquito, gnat",ant,1
1137,mother,daughter,2
1138,mother,goddess,3
1139,mother,main,2
1140,mother,old woman,2
1141,mother,original,4
1142,mother,queen (bee),1
1143,mother,sister,1
1144,mother,smallpox,4
1145,mother,wet-nurse,1
1146,mother,widow,1
1147,mountain,cloud,1
1148,mountain,forest,17
1149,mountain,monastery,1
1150,mouse,birthmark,1
1151,mouse,child (son or daughter),1
1152,mouse,computer mouse,27
1153,mouse,muscle,8
1154,moustache,barbel,1
1155,moustache,tendril (of plant),2
1156,mouth,beak,5
1157,mouth,blade,1
1158,mouth,completion,1
1159,mouth,edge,6
1160,mouth,face,8
1161,mouth,fast (n.),2
1162,mouth,"herald, messenger",2
1163,mouth,impudence,1
1164,mouth,mouth (of a river),10
1165,mouth,"opening, hole",20
1166,mouth,ravine,4
1167,mouth,speech,11
1168,mouth,vacancy,1
1169,mud,faeces,14
1170,mud,penis,1
1171,mud,sweat,1
1172,"muddy, turbid (of water) (?)",to fornicate,1
1173,"muddy, turbid (of water) (?)","to worry, be agitated",2
1174,mule,sterile,1
1175,muscle,strength,1
1176,mushroom,Boletus edulis,3
1177,mute,stupid,6
1178,mute,talkative person,2
1179,muzzle,face,3
1180,muzzle,mouth (of a river),1
1181,nail (body part),finger/toe,4
1182,nail (body part),nail (metal spike),2
1183,nail (metal spike),"screw, screw-bolt",2
1184,"naked, bare",bald,7
1185,"naked, bare",bareback,1
1186,"naked, bare","deprived of, lacking",4
1187,"naked, bare",insolent,1
1188,"naked, bare","only, just",2
1189,"naked, bare",poor,3
1190,"naked, bare",raw,1
1191,name,kind (n.),4
1192,name,reputation,3
1193,nameless,ring finger,5
1194,"narrow, close",greedy,3
1195,navel,belly,2
1196,navel,bottom,1
1197,navel,centre,18
1198,navel,keystone,2
1199,navel,lower part,1
1200,navel,pole (geographical),1
1201,navel,stone (of a fruit),1
1202,navel,whirlpool,1
1203,navy,dark blue,1
1204,near,cheap,1
1205,near,close (of relations),9
1206,near,stupid,2
1207,necessary,suitable,1
1208,neck,crossroads,1
1209,neck,isthmus,3
1210,neck,mountain pass,5
1211,neck,"mountain ridge, edge",2
1212,neck,neck (of bottle etc.),11
1213,needle,shuttle (weaving instrument),2
1214,neighbour,fever,1
1215,nest (n.),bed,9
1216,nettle (Urtica),"medusa, jellyfish",2
1217,new,strange,1
1218,next,second (num.),1
1219,night,24 hours,3
1220,night-blindness,common buttercup (Ranunculus acris),1
1221,night-blindness,scarlet pimpernel (Anagallis arvensis),1
1222,"nimble, deft, quick",comfortable,1
1223,noble,bear (Ursus),1
1224,noble,free,2
1225,noon,south,12
1226,nose,angry,1
1227,nose,beak,10
1228,nose,beginning,2
1229,nose,boss,1
1230,nose,cape,13
1231,nose,corner,1
1232,nose,end,2
1233,nose,front part,14
1234,nose,informer,1
1235,nose,muzzle,4
1236,nose,nostril,9
1237,nose,penis,1
1238,nose,sense of smell,6
1239,nose,sharp point,1
1240,nose,snot,3
1241,now,recently,1
1242,now,soon,2
1243,number,date,2
1244,"nut, hazel",potato,1
1245,"nut, hazel",testicle,2
1246,oar,to row (with oars),1
1247,ocean,foreign,1
1248,official (n.),dragonfly,1
1249,oil (food),"petroleum, oil",2
1250,old man,husband,9
1251,old man,king (a playing card),1
1252,old man/grandfather,bear (Ursus),15
1253,old woman,wife,9
1254,omen,monster (abnormal creature),2
1255,one (unit),ace (playing card),3
1256,one (unit),"only, just",1
1257,onion,potato,1
1258,"only, just","but, however",3
1259,open (adj.),frank,4
1260,open (adj.),light (of colour),5
1261,"opening, hole",defect,1
1262,"opening, hole",genitalia,1
1263,opposite,"false, wrong",1
1264,organ (anatomy),"agency, authority",2
1265,orphan,farm laborer,3
1266,orphan,unique,1
1267,other,friend,1
1268,other,hostile,1
1269,other,left,1
1270,overcoat,fool,2
1271,owl,police officer,1
1272,owner,husband,7
1273,owner,spirit,4
1274,owner,tiger,2
1275,owner,wife,3
1276,owner,woodland spirit,1
1277,"owre, buffalo (Bubalus bubalis)",old man,1
1278,pain,disease,1
1279,pain,very,1
1280,"paint, dye (n.)",colour,9
1281,palace,transport station,2
1282,palm (body part),destiny,1
1283,palm (body part),palm (tree),9
1284,palm (body part),threshing floor,1
1285,paper,book (n.),2
1286,paper,document (n.),12
1287,paper,playing cards,2
1288,part,beloved,2
1289,part,body part,2
1290,part,byte,1
1291,part,destiny,15
1292,part,relative (n.),1
1293,participant in the ritual wedding procession,young man,1
1294,pass (document allowing admission),letter (text),1
1295,pawn (in chess),"puppet, lay figure",2
1296,pea,hail,1
1297,pear,electric lamp,1
1298,pear,fool,1
1299,pear,potato,2
1300,"pellicle, membrane",cataract (of the eye),3
1301,"pellicle, membrane",cloud,1
1302,"pellicle, membrane","film, movie",5
1303,pericarp of a lotus,middle finger,3
1304,period of time,age,8
1305,period of time,destiny,1
1306,person,husband,1
1307,person,person (grammar),12
1308,person,servant,5
1309,person of small stature,Japanese,1
1310,phosphorus,match (for fire),4
1311,pig (Sus scrofa),animal,1
1312,pig (Sus scrofa),bad person,7
1313,pig (Sus scrofa),barbel,1
1314,pig (Sus scrofa),glutton,2
1315,pig (Sus scrofa),haystack,1
1316,pig (Sus scrofa),police officer,3
1317,pig (Sus scrofa),slattern,13
1318,pigeon (Columba),maize,1
1319,pigeon (Columba),moth,2
1320,pillow,birch bolete (Leccinum scabrum),1
1321,pilot sucker,creditor,1
1322,pimple,nipple (part of the breast),1
1323,pink,good,2
1324,pink,happy,3
1325,pit,prison,2
1326,pit,tomb,14
1327,plant (biol.),(gun)powder,3
1328,plant (biol.),"drug, medicine",4
1329,"plough, ard",unit of area,1
1330,plum,tonsil,1
1331,poetry,"false, wrong",1
1332,poison,anger,2
1333,poisonous,magic,1
1334,poisonous,sarcastic,5
1335,pole (long stick),boss,1
1336,pole (long stick),tall person,3
1337,police officer,jack (playing card),1
1338,poor,"rude, impolite",1
1339,poor,unhappy,8
1340,pope,ruff (fish),1
1341,poplar (Populus alba),abies (Abies),1
1342,potato,testicle,2
1343,"power, authority","country, land",3
1344,powerless,furious,3
1345,"precipice, abyss",hell,2
1346,predator,wolf,1
1347,pregnant,fraught with consequences,3
1348,"present, gift",talent,3
1349,price,honour,3
1350,priest (Christianity),Boletus edulis,1
1351,priest (Christianity),dandelion,2
1352,priest (Christianity),dung-beetle,1
1353,priest (Christianity),king (a playing card),2
1354,promise (n.),will (legal document),2
1355,prophet,mantis,2
1356,pumpkin,diamonds (in cards),1
1357,puppy (of a dog),clove (of a garlic),1
1358,puppy (of a dog),inexperienced,9
1359,pure,frank,1
1360,pure,"genuine, true",1
1361,pure,good,2
1362,pure,honest,1
1363,pure,husband,1
1364,pure,"naked, bare",1
1365,queen,queen (playing card),1
1366,quick,good,1
1367,quick,hare (Lepus),1
1368,quick,hot-tempered,2
1369,quick,swift (bird),1
1370,quick,urgent,2
1371,quick,very,1
1372,quiet (vs. loud),slow (adj.),10
1373,"rag, duster (?)",clothes,2
1374,"rag, duster (?)",whore,1
1375,rainbow,iris (anatomy),1
1376,ram,battering-ram,9
1377,ram,brave person,1
1378,raw,"false, wrong",2
1379,raw,inexperienced,3
1380,raw,"rude, impolite",5
1381,ready,enough,4
1382,red,arterial,1
1383,red,beautiful,5
1384,red,"naked, bare",1
1385,red,newborn baby,1
1386,red,rich,1
1387,red,socialist or communist,11
1388,reed,penis,1
1389,reed,reed (in loom),2
1390,rhinoceros,tank (armour),1
1391,rib,"mountain ridge, edge",1
1392,rib,mountain slope,1
1393,rib,reed (in loom),1
1394,rib,rib (part of a ship’s framework),1
1395,rib,side (n.),1
1396,rib,spouse,1
1397,rich,numerous,2
1398,ridgepole,middle finger,1
1399,right (vs. left),best,1
1400,right (vs. left),polite,1
1401,right (vs. left),right (political),10
1402,right (vs. left),south,9
1403,river,Milky Way,1
1404,road,Milky Way,1
1405,road,"manner, way",23
1406,road,"meaning, sense",1
1407,road,"rule, regulations",1
1408,room,cell (in biology),11
1409,room,cell (of honeycomb),3
1410,room,house,2
1411,rooster,brave person,3
1412,rooster,bully,6
1413,rooster,chanterelle,1
1414,rooster,cock (of a gun),18
1415,rooster,penis,2
1416,rooster,"tap, faucet",6
1417,root (of a plant),basis,18
1418,root (of a plant),book back,1
1419,root (of a plant),breed,2
1420,root (of a plant),courage,1
1421,root (of a plant),family,2
1422,root (of a plant),mountain foot,3
1423,root (of a plant),origin,8
1424,root (of a plant),root (arithmetic),1
1425,root (of a plant),root of equation,1
1426,root (of a plant),root of tooth,1
1427,"rope, string, cord, lashing","duty, responsibility",2
1428,"rope, string, cord, lashing",snake,1
1429,"rope, string, cord, lashing",split (gymnastics),4
1430,"rope, string, cord, lashing",unit of length,6
1431,rose,erysipelas,2
1432,rotten,lazy,1
1433,rotten,unreliable,1
1434,"rough, uneven",difficult,2
1435,"rough, uneven","rude, impolite",10
1436,"rough, uneven",sour,1
1437,round (adj.),entire,4
1438,round (adj.),lovely,1
1439,ruff,ruff (bird),1
1440,ruff,ruff (fish),1
1441,runner,millstone,2
1442,runner,shuttle (weaving instrument),1
1443,rural,vulgar,6
1444,rust (n.),defect,1
1445,rusty,bad,1
1446,"sack, bag",head,1
1447,"sack, bag",scrotum,8
1448,sacred,sacrum (bone),5
1449,saddle,saddleback,1
1450,saint,"devil, satan",1
1451,salt,"meaning, sense",2
1452,salt,sea,9
1453,sand,coast,1
1454,sand,"many, much",1
1455,sated by food,drunk,1
1456,sated by food,to be fed up with,2
1457,"satiated, full",insolent,4
1458,"satiated, full",rich,2
1459,"satiated, full",saturated (with something),1
1460,"satiated, full",to be sure,1
1461,saw,"mountain ridge, edge",1
1462,"scales,  weighing machine",testicle,1
1463,"scanty, not numerous",low (social),1
1464,"scanty, not numerous",stupid,1
1465,"scanty, not numerous",tasteless,1
1466,scorpion,hand (of a clock),2
1467,"screw, screw-bolt","joint, articulation",1
1468,sediment,lumpen,4
1469,sediment,something bad,1
1470,servant,I,8
1471,servant,jack (playing card),5
1472,shadow,"phantom, ghost",8
1473,shadow,"protection, patronage",2
1474,shadow,"reflection (in the mirror, water)",3
1475,shadow theatre,cinema,1
1476,shallow,light (of colour),1
1477,shallow,poor,1
1478,shame,genitalia,7
1479,"shape, form","figure, stature",1
1480,shapeless,"ugly, unpleasant",5
1481,sharp,acute (of sound),7
1482,sharp,angry,5
1483,sharp,bad,1
1484,sharp,bitter,3
1485,sharp,clever,13
1486,sharp,dangerous,1
1487,sharp,hot,2
1488,sharp,iron,1
1489,sharp,keen (of senses),10
1490,sharp,passionate,2
1491,sharp,pungent (odour),8
1492,sharp,sad,1
1493,sharp,severe,4
1494,sharp,severe (about pain),2
1495,sharp,sharpshooter,1
1496,sharp,spicy,14
1497,sharp,steep,1
1498,sharp,strong,5
1499,sharp,strong (of liquid or smell),1
1500,sharp,valid,1
1501,sharp point,boss,1
1502,sharpshooter,clever,2
1503,sheep,"kind, good-hearted",1
1504,shell,money,3
1505,shell,sink (basin for holding water for washing),1
1506,shell,spoon,3
1507,shepherd,fool,1
1508,shield,plaice (fish),1
1509,shoal,troop (of animals),7
1510,shooter,bishop (chess),1
1511,short (size),brief,15
1512,short (size),"missing, failing",1
1513,short (size),poor,1
1514,shoulder,branch (of a river),4
1515,shoulder,degree (unit of measurement),1
1516,shoulder,"help, aid (n.)",1
1517,shoulder,mountain slope,5
1518,shoulder,support (n.),1
1519,"shout, scream",unit of length,1
1520,"shrimp, prawn",clove (of a garlic),1
1521,shuttle (weaving instrument),geometrid,1
1522,shuttle (weaving instrument),shuttle (in a sewing machine),1
1523,sickle,July,1
1524,sickle,harvest time,3
1525,side (n.),cheek,1
1526,side (n.),"country, land",1
1527,side (n.),page,11
1528,side (n.),political party,2
1529,sieve (n.),pure,1
1530,"sign, designation","betrothal, engagement",1
1531,"sign, designation",genitalia,3
1532,"sign, designation",miracle,3
1533,silver,bear (Ursus),1
1534,silver,nickel,1
1535,silver,tin (n.),1
1536,simple,stupid,2
1537,simultaneously,immediately,1
1538,sin,foreskin,1
1539,sin,misfortune,1
1540,single-eyed,squint-eyed,1
1541,sizing tool,"rule, regulations",8
1542,skin (of a person),torso,1
1543,skirt,whore,1
1544,skirt,woman,6
1545,sky,bed canopy,6
1546,sky,dead (adj.),1
1547,sky,destiny,3
1548,sleeve,branch (of a river),4
1549,slow (adj.),meek,1
1550,slow (adj.),stupid,2
1551,smell (n.),fame,2
1552,smell (n.),"perfume, scent",3
1553,smoke,abberation of mind,2
1554,smoke,arrogance,3
1555,smoke,dust,2
1556,smoke,house,3
1557,smooth,thick,1
1558,snail,spiral,1
1559,snake,eel (Anguilla anguilla),1
1560,snake,"guileful, crafty person",6
1561,snake,hose,1
1562,snake,lamprey (Petromyzontidae),1
1563,snake,otter (Lutra lutra),1
1564,snake,queue,1
1565,sod (stratum of soil),oath,1
1566,soft (adj.),coward,1
1567,soft (adj.),lenient,1
1568,soft (adj.),not strong (of liquid or smell),2
1569,soft (adj.),quiet (vs. loud),1
1570,soft (adj.),tasteless,1
1571,soft (adj.),tender (adj.),14
1572,soldier,jack (playing card),1
1573,soldier,pawn (in chess),25
1574,soldier,police officer,2
1575,soldier,"soldier (plan, Stratiotes)",1
1576,"sole, unique",best,1
1577,son,soldier,1
1578,soon,almost,4
1579,soul,butterfly,2
1580,soul,person,10
1581,soul,"phantom, ghost",3
1582,sound,fame,3
1583,sour,angry,3
1584,sour,proud,1
1585,sour,sad,8
1586,south,front part,2
1587,"spade, shovel",oar,7
1588,"spade, shovel","shoulder-blade, scapula",4
1589,spark,firefly,1
1590,spear,arrow,1
1591,spear,bullet,1
1592,spear,sting (n.),5
1593,spear,sword,1
1594,sphere; ball,bullet,9
1595,spicy,sad,1
1596,spindle,dragonfly,2
1597,spool,shuttle (weaving instrument),2
1598,spoon,tadpole,2
1599,"spot, stain",disgrace,3
1600,"spot, stain",place,2
1601,spring (season),summer,1
1602,"spring, fountain",origin,10
1603,spruce (Picea),horsetail,1
1604,square (geometrical),diamonds (in cards),1
1605,squirrel (Sciurus),ladybird,1
1606,squirrel (Sciurus),weasel (Mustella nivalis),1
1607,stairs,stirrup,2
1608,stammerer,fool,1
1609,star,North,1
1610,star,celebrity,12
1611,star,destiny,2
1612,star,kite (lightweight toy),1
1613,star,letter (character),1
1614,star,starfish,2
1615,state (condition),state (sovereign polity),1
1616,"steam, vapour",sweat,1
1617,steep,insolent,3
1618,stem (of a plant),"handle, gripe",1
1619,stem (of a plant),strain (microbiology),4
1620,"step (of a staircase, step-ladder)","stage, phase",1
1621,"step, pace",move (board games),1
1622,"step, pace",unit of length,8
